scenario,query_id,role,strategy,policy_version,authorized_count,authorized_selectivity,lid,lid_scale_instability,relative_contrast,radius_expansion,policy_churn,embedding_drift,risk_score,recall_at_k,evidence_sufficient,unauthorized_candidates,unauthorized_context,shortfall,latency_ms,effort_proxy,selected,serving_cost,recall_target_met,evidence_basis,evidence_query_id,authorized_solution_exists,authorized_evidence_bundle_ids,complete_evidence_bundle_ids,answered,evidence_supported_emission,false_permit,false_denial
aligned,22,role-1,unsafe-unfiltered,aligned-v1,748,0.31166666666666665,8.752905964142919,0.1879853025488247,7.911654006795705,1.1617044528581257,0.0,0.0,0.1532249288175299,1.0,,0,0,0,0.036084,10,False,,True,unavailable,,,(),(),,,,
aligned,23,role-1,hnsw-low,aligned-v1,748,0.31166666666666665,8.470032313506529,0.21188746262376457,8.263438938070195,1.1522295562239722,0.0,0.0,0.15765595187289472,1.0,,0,0,0,0.037958,128,True,,True,unavailable,,,(),(),,,,
aligned,23,role-1,hnsw-high,aligned-v1,748,0.31166666666666665,8.470032313506529,0.21188746262376457,8.263438938070195,1.1522295562239722,0.0,0.0,0.15765595187289472,1.0,,0,0,0,0.088125,512,False,,True,unavailable,,,(),(),,,,
aligned,23,role-1,exact-authorized,aligned-v1,748,0.31166666666666665,8.470032313506529,0.21188746262376457,8.263438938070195,1.1522295562239722,0.0,0.0,0.15765595187289472,1.0,,0,0,0,0.037125,748,False,,True,unavailable,,,(),(),,,,
aligned,23,role-1,unsafe-unfiltered,aligned-v1,748,0.31166666666666665,8.470032313506529,0.21188746262376457,8.263438938070195,1.1522295562239722,0.0,0.0,0.15765595187289472,1.0,,0,0,0,0.038792,10,False,,True,unavailable,,,(),(),,,,
aligned,24,role-1,hnsw-low,aligned-v1,748,0.31166666666666665,8.404839102921152,0.20513902463272252,7.839079544672537,1.1509952600045217,0.0,0.0,0.15582172538722805,1.0,,0,0,0,0.038916,128,True,,True,unavailable,,,(),(),,,,
aligned,24,role-1,hnsw-high,aligned-v1,748,0.31166666666666665,8.404839102921152,0.20513902463272252,7.839079544672537,1.1509952600045217,0.0,0.0,0.15582172538722805,1.0,,0,0,0,0.087791,512,False,,True,unavailable,,,(),(),,,,
aligned,24,role-1,exact-authorized,aligned-v1,748,0.31166666666666665,8.404839102921152,0.20513902463272252,7.839079544672537,1.1509952600045217,0.0,0.0,0.15582172538722805,1.0,,0,0,0,0.040291,748,False,,True,unavailable,,,(),(),,,,
aligned,24,role-1,unsafe-unfiltered,aligned-v1,748,0.31166666666666665,8.404839102921152,0.20513902463272252,7.839079544672537,1.1509952600045217,0.0,0.0,0.15582172538722805,1.0,,0,0,0,0.037792,10,False,,True,unavailable,,,(),(),,,,
aligned,25,role-1,hnsw-low,aligned-v1,748,0.31166666666666665,8.949558029354083,0.17447259731654782,6.081652698657725,1.160214070854133,0.0,0.0,0.15408117311115876,1.0,,0,0,0,0.038916,128,True,,True,unavailable,,,(),(),,,,
